Location,Code,Year,Population
Afghanistan,AFG,2022,40578846
Afghanistan,AFG,2023,41454762
Afghanistan,AFG,2024,42647502
Africa,,2022,1446883817
Africa,,2023,1480770740
Africa,,2024,1515141047
Africa (UN),,2022,1446883651
Africa (UN),,2023,1480770527
Africa (UN),,2024,1515140855
Albania,ALB,2022,2827615
Albania,ALB,2023,2811660
Albania,ALB,2024,2791757
Algeria,DZA,2022,45477391
Algeria,DZA,2023,46164221
Algeria,DZA,2024,46814301
American Samoa,ASM,2022,48365
American Samoa,ASM,2023,47543
American Samoa,ASM,2024,46790
Americas (UN),,2022,1034848562
Americas (UN),,2023,1041794259
Americas (UN),,2024,1048761177
Andorra,AND,2022,79722
Andorra,AND,2023,80868
Andorra,AND,2024,81954
Angola,AGO,2022,35635028
Angola,AGO,2023,36749907
Angola,AGO,2024,37885853
Anguilla,AIA,2022,14202
Anguilla,AIA,2023,14435
Anguilla,AIA,2024,14623
Antigua and Barbuda,ATG,2022,92851
Antigua and Barbuda,ATG,2023,93333
Antigua and Barbuda,ATG,2024,93784
Argentina,ARG,2022,45407904
Argentina,ARG,2023,45538402
Argentina,ARG,2024,45696154
Armenia,ARM,2022,2880883
Armenia,ARM,2023,2943395
Armenia,ARM,2024,2973843
Aruba,ABW,2022,107792
Aruba,ABW,2023,107946
Aruba,ABW,2024,108076
Asia,,2022,4746329726
Asia,,2023,4776659632
Asia,,2024,4805539787
Asia (UN),,2022,4747661012
Asia (UN),,2023,4778004495
Asia (UN),,2024,4806897977
Asia (excl. China and India),,2022,1822759552
Asia (excl. China and India),,2023,1839126400
Australia,AUS,2022,26200987
Australia,AUS,2023,26451125
Australia,AUS,2024,26713206
Austria,AUT,2022,9064679
Austria,AUT,2023,9130434
Austria,AUT,2024,9120816
Azerbaijan,AZE,2022,10295307
Azerbaijan,AZE,2023,10318210
Azerbaijan,AZE,2024,10336579
Bahamas,BHS,2022,397544
Bahamas,BHS,2023,399452
Bahamas,BHS,2024,401281
Bahrain,BHR,2022,1533459
Bahrain,BHR,2023,1569674
Bahrain,BHR,2024,1607060
Bangladesh,BGD,2022,169384890
Bangladesh,BGD,2023,171466986
Bangladesh,BGD,2024,173562367
Barbados,BRB,2022,282324
Barbados,BRB,2023,282348
Barbados,BRB,2024,282476
Belarus,BLR,2022,9173241
Belarus,BLR,2023,9115680
Belarus,BLR,2024,9056698
Belgium,BEL,2022,11641813
Belgium,BEL,2023,11712894
Belgium,BEL,2024,11738761
Belize,BLZ,2022,402741
Belize,BLZ,2023,411115
Belize,BLZ,2024,417077
Benin,BEN,2022,13759507
Benin,BEN,2023,14111035
Benin,BEN,2024,14462720
Bermuda,BMU,2022,64772
Bermuda,BMU,2023,64721
Bermuda,BMU,2024,64658
Bhutan,BTN,2022,780920
Bhutan,BTN,2023,786387
Bhutan,BTN,2024,791530
Bolivia,BOL,2022,12077155
Bolivia,BOL,2023,12244161
Bolivia,BOL,2024,12413319
Bonaire Sint Eustatius and Saba,BES,2022,28654
Bonaire Sint Eustatius and Saba,BES,2023,29919
Bonaire Sint Eustatius and Saba,BES,2024,30699
Bosnia and Herzegovina,BIH,2022,3204805
Bosnia and Herzegovina,BIH,2023,3185071
Bosnia and Herzegovina,BIH,2024,3164255
Botswana,BWA,2022,2439895
Botswana,BWA,2023,2480242
Botswana,BWA,2024,2521145
Brazil,BRA,2022,210306411
Brazil,BRA,2023,211140731
Brazil,BRA,2024,211998564
British Virgin Islands,VGB,2022,38344
British Virgin Islands,VGB,2023,39008
British Virgin Islands,VGB,2024,39498
Brunei,BRN,2022,455374
Brunei,BRN,2023,458959
Brunei,BRN,2024,462733
Bulgaria,BGR,2022,6825863
Bulgaria,BGR,2023,6795804
Bulgaria,BGR,2024,6757687
Burkina Faso,BFA,2022,22509037
Burkina Faso,BFA,2023,23025778
Burkina Faso,BFA,2024,23548782
Burundi,BDI,2022,13321101
Burundi,BDI,2023,13689455
Burundi,BDI,2024,14047788
Cambodia,KHM,2022,17201717
Cambodia,KHM,2023,17423881
Cambodia,KHM,2024,17638804
Cameroon,CMR,2022,27632771
Cameroon,CMR,2023,28372688
Cameroon,CMR,2024,29123748
Canada,CAN,2022,38821260
Canada,CAN,2023,39299099
Canada,CAN,2024,39742428
Cape Verde,CPV,2022,519750
Cape Verde,CPV,2023,522335
Cape Verde,CPV,2024,524877
Cayman Islands,CYM,2022,71609
Cayman Islands,CYM,2023,73055
Cayman Islands,CYM,2024,74476
Central African Republic,CAF,2022,5098038
Central African Republic,CAF,2023,5152417
Central African Republic,CAF,2024,5330692
Chad,TCD,2022,18455319
Chad,TCD,2023,19319073
Chad,TCD,2024,20299130
Chile,CHL,2022,19553032
Chile,CHL,2023,19658834
Chile,CHL,2024,19764772
China,CHN,2022,1425179562
China,CHN,2023,1422584937
China,CHN,2024,1419321279
Colombia,COL,2022,51737944
Colombia,COL,2023,52321152
Colombia,COL,2024,52886360
Comoros,COM,2022,834192
Comoros,COM,2023,850390
Comoros,COM,2024,866633
Congo,COG,2022,6035107
Congo,COG,2023,6182889
Congo,COG,2024,6332969
Cook Islands,COK,2022,14747
